BSI__PFLU_U_BE1__K141_66178_1-MONOMER	BSI__PFLU_U_BE1__K141_66178_1		NIL	
BSI__PFLU_U_BE1__K141_156899_4-MONOMER	BSI__PFLU_U_BE1__K141_156899_4		NIL	
BSI__PFLU_U_BE1__K141_66178_2-MONOMER	BSI__PFLU_U_BE1__K141_66178_2		NIL	
BSI__PFLU_U_BE1__K141_156899_5-MONOMER	BSI__PFLU_U_BE1__K141_156899_5		NIL	
BSI__PFLU_U_BE1__K141_66178_3-MONOMER	BSI__PFLU_U_BE1__K141_66178_3		NIL	
BSI__PFLU_U_BE1__K141_66178_4-MONOMER	BSI__PFLU_U_BE1__K141_66178_4		NIL	
BSI__PFLU_U_BE1__K141_66178_5-MONOMER	BSI__PFLU_U_BE1__K141_66178_5		NIL	
BSI__PFLU_U_BE1__K141_66178_6-MONOMER	BSI__PFLU_U_BE1__K141_66178_6		NIL	
BSI__PFLU_U_BE1__K141_66178_7-MONOMER	BSI__PFLU_U_BE1__K141_66178_7		NIL	
BSI__PFLU_U_BE1__K141_66178_8-MONOMER	BSI__PFLU_U_BE1__K141_66178_8		NIL	
BSI__PFLU_U_BE1__K141_66178_9-MONOMER	BSI__PFLU_U_BE1__K141_66178_9		NIL	
BSI__PFLU_U_BE1__K141_66178_10-MONOMER	BSI__PFLU_U_BE1__K141_66178_10		NIL	
BSI__PFLU_U_BE1__K141_66178_11-MONOMER	BSI__PFLU_U_BE1__K141_66178_11		NIL	
BSI__PFLU_U_BE1__K141_66178_12-MONOMER	BSI__PFLU_U_BE1__K141_66178_12		NIL	
BSI__PFLU_U_BE1__K141_156875_1-MONOMER	BSI__PFLU_U_BE1__K141_156875_1		NIL	
BSI__PFLU_U_BE1__K141_156875_2-MONOMER	BSI__PFLU_U_BE1__K141_156875_2		NIL	
BSI__PFLU_U_BE1__K141_156875_3-MONOMER	BSI__PFLU_U_BE1__K141_156875_3		NIL	
BSI__PFLU_U_BE1__K141_156875_4-MONOMER	BSI__PFLU_U_BE1__K141_156875_4		NIL	
BSI__PFLU_U_BE1__K141_156875_5-MONOMER	BSI__PFLU_U_BE1__K141_156875_5		NIL	
BSI__PFLU_U_BE1__K141_156875_6-MONOMER	BSI__PFLU_U_BE1__K141_156875_6		NIL	
BSI__PFLU_U_BE1__K141_156875_7-MONOMER	BSI__PFLU_U_BE1__K141_156875_7		NIL	
BSI__PFLU_U_BE1__K141_156875_8-MONOMER	BSI__PFLU_U_BE1__K141_156875_8		NIL	
BSI__PFLU_U_BE1__K141_156875_9-MONOMER	BSI__PFLU_U_BE1__K141_156875_9		NIL	
BSI__PFLU_U_BE1__K141_6514_1-MONOMER	BSI__PFLU_U_BE1__K141_6514_1		NIL	
BSI__PFLU_U_BE1__K141_6514_2-MONOMER	BSI__PFLU_U_BE1__K141_6514_2		NIL	
BSI__PFLU_U_BE1__K141_6514_3-MONOMER	BSI__PFLU_U_BE1__K141_6514_3		NIL	
BSI__PFLU_U_BE1__K141_6514_4-MONOMER	BSI__PFLU_U_BE1__K141_6514_4		NIL	
BSI__PFLU_U_BE1__K141_6514_5-MONOMER	BSI__PFLU_U_BE1__K141_6514_5		NIL	
BSI__PFLU_U_BE1__K141_156726_1-MONOMER	BSI__PFLU_U_BE1__K141_156726_1		NIL	
BSI__PFLU_U_BE1__K141_156726_2-MONOMER	BSI__PFLU_U_BE1__K141_156726_2		NIL	
BSI__PFLU_U_BE1__K141_156726_3-MONOMER	BSI__PFLU_U_BE1__K141_156726_3		NIL	
BSI__PFLU_U_BE1__K141_156726_4-MONOMER	BSI__PFLU_U_BE1__K141_156726_4		NIL	
BSI__PFLU_U_BE1__K141_156726_5-MONOMER	BSI__PFLU_U_BE1__K141_156726_5		NIL	
BSI__PFLU_U_BE1__K141_156726_6-MONOMER	BSI__PFLU_U_BE1__K141_156726_6		NIL	
BSI__PFLU_U_BE1__K141_64492_1-MONOMER	BSI__PFLU_U_BE1__K141_64492_1		NIL	
BSI__PFLU_U_BE1__K141_156726_7-MONOMER	BSI__PFLU_U_BE1__K141_156726_7		NIL	
BSI__PFLU_U_BE1__K141_64492_2-MONOMER	BSI__PFLU_U_BE1__K141_64492_2		NIL	
BSI__PFLU_U_BE1__K141_64492_3-MONOMER	BSI__PFLU_U_BE1__K141_64492_3		NIL	
BSI__PFLU_U_BE1__K141_156726_8-MONOMER	BSI__PFLU_U_BE1__K141_156726_8		NIL	
BSI__PFLU_U_BE1__K141_64492_4-MONOMER	BSI__PFLU_U_BE1__K141_64492_4		NIL	
BSI__PFLU_U_BE1__K141_156726_9-MONOMER	BSI__PFLU_U_BE1__K141_156726_9		NIL	
BSI__PFLU_U_BE1__K141_64492_5-MONOMER	BSI__PFLU_U_BE1__K141_64492_5		NIL	
