Compound	Cluster	Classes	Common names	MetaCyc link
CPD-13524	2	Chemicals, Retinols, FRAMES, Vitamins, Diterpenes, Terpenoids, Vitamin-A, Compounds, Secondary-Metabolites, Lipids, Polyisoprenoids, Retinoids, Compounds-And-Elements	all-trans-retinol	https://metacyc.org/compound?orgid=META&id=CPD-13524
CPD-12119	2	Membrane-Electron-Carriers, Redox-Electron-Carriers, ETR-Quinols, Chemicals, Aromatics, FRAMES, Reduced-Quinones, Demethylmenaquinols, Compounds, Menaquinols, Modified-Menaquinols, Acceptors, Compounds-And-Elements	demethylmenaquinol-10	https://metacyc.org/compound?orgid=META&id=CPD-12119
CPD0-881	3	Chemicals, Compounds, FRAMES, Compounds-And-Elements	N-acetyl-D-muramate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD0-881
CPD-10683	3	Carbohydrate-Derivatives, All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Glycans, Compounds-And-Elements, Compounds, Carbohydrate-phosphates, Disaccharide-phosphates	mannosylfructose-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-10683
2-DH-3-DO-D-ARABINONATE	3	Ketoaldonates, Organic-Acids, Chemicals, All-Carbohydrates, Acids, Carbohydrate-acids, FRAMES, Carbohydrates, Glycans, Compounds, All-Carboxy-Acids, Compounds-And-Elements, Carboxylates	2-dehydro-3-deoxy-D-pentonate	https://metacyc.org/compound?orgid=META&id=2-DH-3-DO-D-ARABINONATE
D-TAGATURONATE	3	Organic-Acids, Chemicals, All-Carbohydrates, Acids, Carbohydrate-acids, FRAMES, Carbohydrates, Glycans, Hexuronates, Compounds, Uronates, All-Carboxy-Acids, Compounds-And-Elements, Carboxylates, Monocarboxylates	D-tagaturonate	https://metacyc.org/compound?orgid=META&id=D-TAGATURONATE
CPD-22403	3	All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Glycans, Compounds, Lipids, Glycoconjugates, Glycolipids, Compounds-And-Elements, Lipid-A-Disaccharide	lipid A disaccharide (P. putida)	https://metacyc.org/compound?orgid=META&id=CPD-22403
CPD-22402	3	Lipid-IVA, All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Lipid-A-containing-Glycolipids, Lipid-A, Glycans, Compounds, Lipids, Glycoconjugates, Glycolipids, Compounds-And-Elements	lipid IVA (P. putida)	https://metacyc.org/compound?orgid=META&id=CPD-22402
CPD-15633	3	Chemicals, Carbohydrate-acids, FRAMES, Carbohydrates, Glycans, Compounds, Uronates, Galacturonate, Carboxylates, All-Carboxy-Acids, Monocarboxylates, Organic-Acids, All-Carbohydrates, Acids, Hexuronates, D-GALACTURONATE, Compounds-And-Elements	aldehydo-D-galacturonate	https://metacyc.org/compound?orgid=META&id=CPD-15633
CPD0-1456	3	Organic-heteromonocyclic-compounds, Chemicals, Organonitrogen-Compounds, Organic-heterocyclic-compound, FRAMES, Carbohydrates, NUCLEOTIDE-SUGARS, UDP-sugar, Glycans, Compounds, Modified-Nucleotides, Carbohydrate-Derivatives, Organonitrogen-Heterocyclic-Compounds, All-Carbohydrates, Nucleotides, Diazines, All-Nucleosides, NDP-sugars, Nitrogen-Molecular-Entities, Compounds-And-Elements, Pyrimidines	UDP-N-acetyl-&alpha;-D-muramoyl-L-alanine	https://metacyc.org/compound?orgid=META&id=CPD0-1456
