Compound	Cluster	Classes	Common names	MetaCyc link
CPD-19757	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	(2S)-2-acetamido-4-aminobutanoate	https://metacyc.org/compound?orgid=META&id=CPD-19757
Trans-D2-cis-D7-tetradecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, Di-unsaturated-acyl-ACPs, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,7Z)-tetradeca-2,7-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Trans-D2-cis-D7-tetradecenoyl-ACPs
3-hydroxy-cis-D7-tetraecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, OH-ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (3R,7Z)-3-hydroxytetradec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-hydroxy-cis-D7-tetraecenoyl-ACPs
SULFOACETALDEHYDE	1	Compounds, Compounds-And-Elements, FRAMES, Chemicals, SULFONATES, ORGANOSULFUR	sulfoacetaldehyde	https://metacyc.org/compound?orgid=META&id=SULFOACETALDEHYDE
CPD-335	1	Hydroxy-fatty-acids, Compounds, 2-Or-3-Hydroxy-Fatty-Acids, IN-CHAIN-HYDROXY-FATTY-ACID, FRAMES, All-Carboxy-Acids, 3-Hydroxy-Fatty-Acids, 3-HYDROXY-BUTYRATE, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, Hydroxy-carboxylates, Fatty-Acids	(R)-3-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=CPD-335
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	D-glycero-&beta;-D-manno-heptose 1,7-bisphosphate	https://metacyc.org/compound?orgid=META&id=D-BETA-D-HEPTOSE-17-DIPHOSPHATE
CPD0-1643	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	N-acetyl-&alpha;-D-muramate 1-phosphate	https://metacyc.org/compound?orgid=META&id=CPD0-1643
b-Keto-cis-D5-dodecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (5Z)-3-oxododec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=b-Keto-cis-D5-dodecenoyl-ACPs
b-Hydroxy-cis-D5-dodecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (3R,5Z)-3-hydroxydodec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=b-Hydroxy-cis-D5-dodecenoyl-ACPs
ECTOINE	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	ectoine	https://metacyc.org/compound?orgid=META&id=ECTOINE
CPD-14205	1	Compounds, Compounds-And-Elements, Thioesters, Esters, FRAMES, Chemicals, All-Coas	3-methylfumaryl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-14205
CPD-1772	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	2-aminoacetaldehyde	https://metacyc.org/compound?orgid=META&id=CPD-1772
CPD0-2298	1	Ureido-Compounds, Compounds, Compounds-And-Elements, FRAMES, Chemicals	(S)-ureidoglycine	https://metacyc.org/compound?orgid=META&id=CPD0-2298
CPD-645	1	Ketoaldonates, Compounds, Carbohydrates, FRAMES, All-Carboxy-Acids, Carboxylates, All-Carbohydrates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, Carbohydrate-acids, Glycans	5-dehydro-2-deoxy-D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-645
9Z-3-oxo-octadec-9-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (9Z)-3-oxo-octadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=9Z-3-oxo-octadec-9-enoyl-ACPs
3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (3R,5Z)-3-hydroxy-tetradec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs
5-KETO-4-DEOXY-D-GLUCARATE	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	5-dehydro-4-deoxy-D-glucarate	https://metacyc.org/compound?orgid=META&id=5-KETO-4-DEOXY-D-GLUCARATE
4-FUMARYL-ACETOACETATE	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	4-fumaryl-acetoacetate	https://metacyc.org/compound?orgid=META&id=4-FUMARYL-ACETOACETATE
CPD-465	1	Compounds, Lipids, Triterpenes, FRAMES, Polyisoprenoids, Terpenoids, Compounds-And-Elements, Chemicals, Secondary-Metabolites	presqualene diphosphate	https://metacyc.org/compound?orgid=META&id=CPD-465
CPD-12179	1	Compounds, Compounds-And-Elements, FRAMES, Chemicals	methylmalonate semialdehyde	https://metacyc.org/compound?orgid=META&id=CPD-12179
CPD-289	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	(1R,2R)-cyclohexa-3,5-diene-1,2-diol	https://metacyc.org/compound?orgid=META&id=CPD-289
CPD-804	1	Compounds, FRAMES, All-Carboxy-Acids, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, 2-Oxo-carboxylates, 2-Oxo-Acids	(4S)-4-hydroxy-2-oxoheptanedioate	https://metacyc.org/compound?orgid=META&id=CPD-804
3-oxo-cis-D9-hexadecenoyl-ACPs	1	Macromolecules, B-KETOACYL-ACP, Modified-Proteins, Monounsaturated-acyl-ACPs, Proteins, FRAMES, ACYL-ACP, Long-Chain-3-oxo-ACPs, Polypeptides, Chemicals, All-ACPs	a (9Z)-3-oxohexadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-cis-D9-hexadecenoyl-ACPs
L-XYLULOSE-5-P	1	Carbohydrate-Derivatives, Compounds, Carbohydrates, FRAMES, All-Carbohydrates, PENTOSE-5-PHOSPHATES, Compounds-And-Elements, Sugar-Phosphate, SUGAR-5-PHOSPHATES, Chemicals, Pentose-phosphates, Glycans	L-xylulose 5-phosphate	https://metacyc.org/compound?orgid=META&id=L-XYLULOSE-5-P
4-HYDROXY-BUTYRATE	1	Hydroxy-fatty-acids, Compounds, Lipids, FRAMES, OMEGA-HYDROXY-FATTY-ACID, All-Carboxy-Acids, Omega-Hydroxy-Short-Chain-Fatty-Acid, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, Hydroxy-carboxylates, Fatty-Acids, Omega-Hydroxy-Me-Branched-Lipids	4-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=4-HYDROXY-BUTYRATE
