#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_62218_1058			
BSI__PFLU_U_BE1__K141_62218_1059			
BSI__PFLU_U_BE1__K141_62218_1060			
BSI__PFLU_U_BE1__K141_62218_1061			
BSI__PFLU_U_BE1__K141_62218_1062			
BSI__PFLU_U_BE1__K141_62218_1063			
BSI__PFLU_U_BE1__K141_62218_1064		ispH	
BSI__PFLU_U_BE1__K141_62218_1065		thrB	
BSI__PFLU_U_BE1__K141_62218_1066		rnhA	
BSI__PFLU_U_BE1__K141_62218_1067			
BSI__PFLU_U_BE1__K141_62218_1068			
BSI__PFLU_U_BE1__K141_62218_1069		MA20_18155	
BSI__PFLU_U_BE1__K141_62218_1070			
BSI__PFLU_U_BE1__K141_62218_1071			
BSI__PFLU_U_BE1__K141_62218_1072			
BSI__PFLU_U_BE1__K141_62218_1073			
BSI__PFLU_U_BE1__K141_62218_1074			
BSI__PFLU_U_BE1__K141_62218_1075			
BSI__PFLU_U_BE1__K141_62218_1076			
BSI__PFLU_U_BE1__K141_62218_1077			
BSI__PFLU_U_BE1__K141_62218_1078			
BSI__PFLU_U_BE1__K141_62218_1079			
BSI__PFLU_U_BE1__K141_62218_1080			
BSI__PFLU_U_BE1__K141_62218_1081			
BSI__PFLU_U_BE1__K141_62218_1082			
BSI__PFLU_U_BE1__K141_62218_1083			
BSI__PFLU_U_BE1__K141_62218_1084		tldD	
BSI__PFLU_U_BE1__K141_62218_1085			
BSI__PFLU_U_BE1__K141_62218_1086			
BSI__PFLU_U_BE1__K141_62218_1087			
BSI__PFLU_U_BE1__K141_62218_1088		yjgH	
BSI__PFLU_U_BE1__K141_62218_1089			
BSI__PFLU_U_BE1__K141_62218_1090		ubiA	
BSI__PFLU_U_BE1__K141_62218_1091			
