Compound	Cluster	Classes	Common names	MetaCyc link
CPD-654	3	Chemicals, 2-Oxo-Acids, FRAMES, Organic-Acids, Acids, 2-Oxo-carboxylates, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	2,5-dioxopentanoate	https://metacyc.org/compound?orgid=META&id=CPD-654
DEOXYURIDINE	3	Chemicals, Compounds, Nucleosides, FRAMES, All-Nucleosides, Compounds-And-Elements	2'-deoxyuridine	https://metacyc.org/compound?orgid=META&id=DEOXYURIDINE
TARTRONATE-S-ALD	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	tartronate semialdehyde	https://metacyc.org/compound?orgid=META&id=TARTRONATE-S-ALD
XYLITOL	3	Sugar, Pentitols, Chemicals, FRAMES, Sugar-alcohols, Carbohydrates, Glycans, All-Carbohydrates, Alcohols, Compounds, Compounds-And-Elements	xylitol	https://metacyc.org/compound?orgid=META&id=XYLITOL
DEOXY-RIBOSE-5P	3	Sugar-Phosphate, SUGAR-5-PHOSPHATES, Pentose-phosphates, Carbohydrates, Glycans, Compounds-And-Elements, Chemicals, PENTOSE-5-PHOSPHATES, FRAMES, All-Carbohydrates, Carbohydrate-Derivatives, Compounds	2-deoxy-D-ribose 5-phosphate	https://metacyc.org/compound?orgid=META&id=DEOXY-RIBOSE-5P
L-ARABITOL	3	Sugar, Pentitols, Chemicals, FRAMES, Sugar-alcohols, Carbohydrates, Glycans, All-Carbohydrates, Alcohols, Compounds, Compounds-And-Elements	L-arabinitol	https://metacyc.org/compound?orgid=META&id=L-ARABITOL
DEOXY-D-RIBOSE-1-PHOSPHATE	3	Chemicals, PENTOSE-1-PHOSPHATES, Sugar-Phosphate, FRAMES, Pentose-phosphates, Sugar-1-Phosphate, Carbohydrates, Glycans, All-Carbohydrates, Carbohydrate-Derivatives, DEOXY-RIBOSE-1P, Compounds, Compounds-And-Elements	2-deoxy-&alpha;-D-ribose 1-phosphate	https://metacyc.org/compound?orgid=META&id=DEOXY-D-RIBOSE-1-PHOSPHATE
CPD-1128	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	1-pyrroline-4-hydroxy-2-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-1128
GLYCERATE	3	Glycerates, Hydroxy-carboxylates, D-2-hydroxyacids, Acids, Carboxylates, 2-Hydroxy-carboxylates, Compounds-And-Elements, Chemicals, FRAMES, Monocarboxylates, Organic-Acids, All-Carboxy-Acids, Compounds	D-glycerate	https://metacyc.org/compound?orgid=META&id=GLYCERATE
CPD-10723	3	D-Ketoses, FRU, Fructose, Carbohydrates, Glycans, D-Ketohexoses, Compounds-And-Elements, Monosaccharides, Sugar, Chemicals, Ketohexoses, FRAMES, Hexoses, All-Carbohydrates, D-Hexoses, Ketoses, Fructofuranose, Compounds	&alpha;-D-fructofuranose	https://metacyc.org/compound?orgid=META&id=CPD-10723
OH-PYR	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	hydroxypyruvate	https://metacyc.org/compound?orgid=META&id=OH-PYR
KYNURENATE	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	kynurenate	https://metacyc.org/compound?orgid=META&id=KYNURENATE
3-HYDROXY-ANTHRANILATE	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	3-hydroxyanthranilate	https://metacyc.org/compound?orgid=META&id=3-HYDROXY-ANTHRANILATE
AMINO-ACETONE	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	aminoacetone	https://metacyc.org/compound?orgid=META&id=AMINO-ACETONE
3-HYDROXY-L-KYNURENINE	3	Amino-Acids, Hydroxy-Amino-Acids, Chemicals, Hydroxy-L-Amino-Acids, Modified-Amino-Acids, FRAMES, Organic-Acids, Acids, All-Amino-Acids, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	3-hydroxy-L-kynurenine	https://metacyc.org/compound?orgid=META&id=3-HYDROXY-L-KYNURENINE
AMINO-OXOBUT	3	Amino-Acids, Acids, All-Amino-Acids, Carboxylates, Compounds-And-Elements, Chemicals, CPD-12642, Modified-Amino-Acids, FRAMES, Organic-Acids, All-Carboxy-Acids, Compounds	L-2-amino-3-oxobutanoate	https://metacyc.org/compound?orgid=META&id=AMINO-OXOBUT
