Compound	Cluster	Classes	Common names	MetaCyc link
CPD-15586	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	2-amino-2-deoxy-D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-15586
D-XYLONATE	3	All-Carboxy-Acids, Chemicals, Monosaccharides, Carboxylates, Organic-Acids, Sugar, Aldonic-Acids, Compounds-And-Elements, FRAMES, Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, Acids, Carbohydrates	D-xylonate	https://metacyc.org/compound?orgid=META&id=D-XYLONATE
D-TAGATURONATE	3	Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, Acids, All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Carbohydrates, Compounds-And-Elements, Hexuronates, Monocarboxylates, FRAMES, Uronates	D-tagaturonate	https://metacyc.org/compound?orgid=META&id=D-TAGATURONATE
D-ALTRONATE	3	Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, Acids, All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Carbohydrates, Aldonic-Acids, Compounds-And-Elements, FRAMES	D-altronate	https://metacyc.org/compound?orgid=META&id=D-ALTRONATE
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	3	All-Carbohydrates, Compounds, Glycans, Chemicals, Oligosaccharides, Carbohydrates, Glycoconjugates, Prenylated-Glycans, Compounds-And-Elements, Oligosaccharide-Lipid, FRAMES, Glycolipids, Lipids	&alpha;-D-GlcNAc-PP-Und	https://metacyc.org/compound?orgid=META&id=ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE
CPD-254	3	Modified-Bases, Compounds, Compounds-And-Elements, Chemicals, All-Nucleosides, FRAMES	5-hydroxymethyluracil	https://metacyc.org/compound?orgid=META&id=CPD-254
CPD0-881	3	Compounds-And-Elements, Compounds, FRAMES, Chemicals	N-acetyl-D-muramate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD0-881
2-DEHYDRO-3-DEOXY-D-GLUCONATE	3	Compounds, Acids, All-Carboxy-Acids, Chemicals, Organic-Acids, Carboxylates, Compounds-And-Elements, 2-Oxo-Acids, FRAMES, 2-Oxo-carboxylates	2-dehydro-3-deoxy-D-gluconate	https://metacyc.org/compound?orgid=META&id=2-DEHYDRO-3-DEOXY-D-GLUCONATE
CPD0-1456	3	Nitrogen-Molecular-Entities, Chemicals, Diazines, Organic-heterocyclic-compound, Organonitrogen-Compounds, Compounds-And-Elements, FRAMES, Pyrimidines, Modified-Nucleotides, All-Carbohydrates, Compounds, Glycans, All-Nucleosides, Nucleotides, Carbohydrate-Derivatives, NDP-sugars, Carbohydrates, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, NUCLEOTIDE-SUGARS, UDP-sugar	UDP-N-acetyl-&alpha;-D-muramoyl-L-alanine	https://metacyc.org/compound?orgid=META&id=CPD0-1456
CPD-471	3	Compounds, Amino-Acids, Compounds-And-Elements, Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, 3-AMINO-ISOBUTYRATE, Non-alpha-amino-acids, FRAMES, Beta-amino-acids	(R)-3-amino-2-methylpropanoate	https://metacyc.org/compound?orgid=META&id=CPD-471
