Compound	Cluster	Classes	Common names	MetaCyc link
Palmitoleoyl-ACPs	3	FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, Monounsaturated-acyl-ACPs, ACYL-ACP	a palmitoleoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Palmitoleoyl-ACPs
HISTIDINOL	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	histidinol	https://metacyc.org/compound?orgid=META&id=HISTIDINOL
HIS	3	Amino-Acids-20, Polar-amino-acids, Carboxylates, All-Amino-Acids, All-Carboxy-Acids, Acids, L-Amino-Acids, Chemicals, Organic-Acids, Aromatic-Amino-Acids, Aromatic-L-Amino-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Alpha-Amino-Acids, Compounds, Basic-Amino-Acids, Positively-charged-polar-amino-acids	L-histidine	https://metacyc.org/compound?orgid=META&id=HIS
CPD-9247	3	Organic-Acids, Monounsaturated-fatty-acids, Fatty-Acids, Compounds-And-Elements, FRAMES, Carboxylates, Unsaturated-Fatty-Acids, Compounds, Long-Chain-Fatty-Acids, All-Carboxy-Acids, Acids, Vaccenate, Chemicals	cis-vaccenate	https://metacyc.org/compound?orgid=META&id=CPD-9247
CARNOSINE	3	Compounds-And-Elements, FRAMES, Dipeptides-With-Hist-C-Terminal-Position, Compounds, DIPEPTIDES, Peptides, OLIGOPEPTIDES, Chemicals	carnosine	https://metacyc.org/compound?orgid=META&id=CARNOSINE
Oleoyl-ACPs	3	FRAMES, Chemicals, Modified-Proteins, All-ACPs, Macromolecules, Proteins, Polypeptides, Monounsaturated-acyl-ACPs, ACYL-ACP	an oleoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Oleoyl-ACPs
L-ALLO-THREONINE	3	ALLO-THR, Organic-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Alpha-Amino-Acids, Carboxylates, Non-standard-amino-acids, Compounds, All-Amino-Acids, All-Carboxy-Acids, Acids, Chemicals	L-allo-threonine	https://metacyc.org/compound?orgid=META&id=L-ALLO-THREONINE
D-METHYL-MALONYL-COA	3	Compounds-And-Elements, Esters, Methylmalonyl-CoA, All-Coas, FRAMES, Compounds, Thioesters, Chemicals	(S)-methylmalonyl-CoA	https://metacyc.org/compound?orgid=META&id=D-METHYL-MALONYL-COA
ILE	3	Amino-Acids-20, Carboxylates, All-Amino-Acids, All-Carboxy-Acids, Acids, Branched-Amino-Acids, Non-polar-amino-acids, L-Amino-Acids, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Alpha-Amino-Acids, Compounds	L-isoleucine	https://metacyc.org/compound?orgid=META&id=ILE
PROPIONYL-COA	3	Short-Chain-Acyl-CoAs, All-Coas, Esters, Compounds-And-Elements, FRAMES, Thioesters, Compounds, Fatty-Acyl-CoAs, ACYL-COA, Short-Chain-234-Saturated-acyl-CoAs, Saturated-Fatty-Acyl-CoA, Chemicals	propanoyl-CoA	https://metacyc.org/compound?orgid=META&id=PROPIONYL-COA
